Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,25.765413,61.708664,1006.5399,4.7442927,176.22482,0.0
2025-03-20_01:00:00,0.0,24.00952,70.392746,1006.41724,4.131433,172.44742,0.0
2025-03-20_02:00:00,0.0,23.6165,71.81096,1006.5679,2.8870537,175.77257,0.0
2025-03-20_03:00:00,0.0,22.922346,73.85608,1007.01825,4.120025,104.79739,0.0
2025-03-20_04:00:00,0.0,22.063396,76.83642,1007.1461,6.19348,75.95776,0.0
2025-03-20_05:00:00,0.0,21.254553,80.78357,1007.18585,6.6619077,37.45794,0.0
2025-03-20_06:00:00,0.0,20.707958,84.092636,1007.3153,6.6439776,33.19371,0.0
2025-03-20_07:00:00,0.0,20.440956,84.72624,1007.8384,6.261291,45.02327,0.0
2025-03-20_08:00:00,0.0,19.997658,84.68277,1008.3205,6.3718786,87.82414,0.0
2025-03-20_09:00:00,0.0,19.400427,85.983185,1008.94965,6.596106,124.79324,0.0
2025-03-20_10:00:00,0.0,19.653769,83.03505,1009.09326,3.2083127,143.04684,0.0
2025-03-20_11:00:00,0.0,23.711718,66.640945,1008.82214,3.9016004,104.47242,0.0
2025-03-20_12:00:00,0.0,26.392551,58.448647,1008.62036,5.401277,83.35249,0.0
2025-03-20_13:00:00,0.0,28.977858,51.873363,1007.9661,8.775082,78.975975,0.0
2025-03-20_14:00:00,0.0,31.347645,45.12127,1007.20886,8.624537,78.67514,0.0
2025-03-20_15:00:00,0.0,32.772636,38.924706,1006.4059,6.618915,75.04376,0.0
2025-03-20_16:00:00,0.0,33.708397,35.09471,1005.5903,5.8557634,78.16746,0.0
2025-03-20_17:00:00,0.0,34.356476,32.64138,1004.86475,5.0303683,85.86255,0.0
2025-03-20_18:00:00,0.0,34.852974,31.52582,1004.15,4.3925714,115.24999,0.0
2025-03-20_19:00:00,4.88916020913166e-06,35.19345,30.55049,1003.99304,4.955088,140.8153,0.0
2025-03-20_20:00:00,0.0,35.18097,29.835392,1003.99854,5.255394,145.03793,0.0
2025-03-20_21:00:00,3.443460082053207e-05,34.620262,31.184074,1004.16235,8.021906,168.88403,0.0
2025-03-20_22:00:00,0.0007899760021246038,30.704496,39.479355,1004.76184,9.474972,175.46461,0.0
2025-03-20_23:00:00,0.0,29.5164,41.85723,1005.3105,9.161549,142.4629,0.0
2025-03-21_00:00:00,0.0,28.593845,42.676388,1005.7222,8.743005,124.02803,0.0
2025-03-21_01:00:00,0.0,27.802366,44.82962,1005.7996,11.302676,84.34851,0.0
2025-03-21_02:00:00,0.04726713556556206,27.126991,48.48964,1005.8741,8.112229,72.54395,0.0
2025-03-21_03:00:00,0.0015865641908021644,26.142902,52.089256,1006.0312,8.0653305,56.54708,0.0
2025-03-21_04:00:00,2.6258639991283417e-06,25.827007,51.62051,1006.1558,10.234556,70.13612,0.0
2025-03-21_05:00:00,0.0,24.812494,55.395535,1006.41547,10.180247,73.690414,0.0
2025-03-21_06:00:00,0.0,24.399414,58.520676,1006.4469,10.433221,51.68331,0.0
2025-03-21_07:00:00,0.0,23.591038,63.68466,1007.0483,9.344169,57.590748,0.0
2025-03-21_08:00:00,0.0,23.164635,63.96647,1007.7081,10.883023,34.066795,0.0
2025-03-21_09:00:00,0.0,22.520153,62.434227,1008.0687,9.366022,59.407883,0.0
2025-03-21_10:00:00,0.0,23.200779,55.274055,1008.2898,10.331943,70.40425,0.0
2025-03-21_11:00:00,0.0,25.974781,46.548744,1008.3783,12.698524,76.366264,0.0
2025-03-21_12:00:00,0.0,28.637056,43.758125,1008.30493,11.18392,78.44714,0.0
2025-03-21_13:00:00,0.0,31.215282,41.315186,1007.5345,11.106653,68.300354,0.0
2025-03-21_14:00:00,0.0,32.977516,37.695683,1006.7394,12.169514,57.89673,0.0
2025-03-21_15:00:00,0.0,34.054047,34.941822,1005.8191,8.412236,63.794945,0.0
2025-03-21_16:00:00,3.7065984770379146e-07,34.73438,33.631203,1004.87085,9.298752,69.28689,0.0
2025-03-21_17:00:00,0.1316632192756515,34.989372,32.651802,1004.10913,8.652472,95.40193,0.0
2025-03-21_18:00:00,0.016518832475412637,34.807922,32.242237,1003.6227,14.090013,177.77159,0.0
2025-03-21_19:00:00,0.2102103254874237,34.062405,33.65528,1003.6428,12.956304,81.375496,0.0
2025-03-21_20:00:00,0.08860389410983771,34.327236,32.946323,1003.63403,12.9031515,107.69555,0.0
2025-03-21_21:00:00,0.0007886243984103203,34.316452,32.60293,1003.75024,5.863086,110.27645,0.0
2025-03-21_22:00:00,1.2293457984924316e-06,30.86942,39.951805,1004.2991,5.826466,118.03085,0.0
2025-03-21_23:00:00,0.0,30.044306,42.005455,1004.725,5.3315163,103.049866,0.0
2025-03-22_00:00:00,0.0,29.368969,43.703384,1004.93396,5.549015,100.60892,0.0
2025-03-22_01:00:00,3.625452518463135e-05,27.85542,48.08655,1005.09814,9.887482,85.610245,0.0
2025-03-22_02:00:00,5.170702934265137e-06,26.912418,49.578926,1005.34973,10.205877,79.19304,0.0
2025-03-22_03:00:00,0.0,26.092804,51.95295,1005.5427,9.937168,58.782425,0.0
2025-03-22_04:00:00,0.0,25.632769,54.47664,1005.6494,11.210503,67.73468,0.0
2025-03-22_05:00:00,0.0,25.209942,56.50718,1005.9601,10.835127,59.866974,0.0
2025-03-22_06:00:00,0.0,24.989923,61.3267,1005.88617,12.259001,47.74492,0.0
2025-03-22_07:00:00,0.0,23.915026,63.202324,1006.4345,10.048492,30.874762,0.0
2025-03-22_08:00:00,0.0,23.13211,67.324615,1006.8794,9.889108,34.409794,0.0
2025-03-22_09:00:00,0.0,22.494087,73.148056,1007.2095,9.892607,48.438774,0.0
2025-03-22_10:00:00,0.0,23.792675,73.26829,1007.2522,11.379068,44.48542,0.0
2025-03-22_11:00:00,0.0,26.156675,66.26467,1007.36084,9.509434,47.24228,0.0
2025-03-22_12:00:00,0.0,29.704477,55.860794,1007.0325,10.702719,157.50504,0.0
2025-03-22_13:00:00,0.0,31.999426,49.4942,1006.2075,15.359659,347.43628,0.0
2025-03-22_14:00:00,0.0,33.09359,46.46721,1005.3174,15.59776,340.43246,0.0
2025-03-22_15:00:00,0.0,34.076202,41.446312,1004.2577,13.832657,344.4403,0.0
2025-03-22_16:00:00,4.842877388000488e-08,34.75273,38.815758,1003.0029,13.781798,347.96808,0.0
2025-03-22_17:00:00,0.15484683751128614,35.108154,37.21695,1001.93243,12.281181,299.36255,0.0
2025-03-22_18:00:00,0.0005719857290387154,36.131874,33.153427,1000.83374,13.511597,341.6211,0.0
2025-03-22_19:00:00,0.006374849006533623,35.981346,34.772636,1000.4994,19.14152,327.87442,0.0
2025-03-22_20:00:00,0.00016419775784015656,35.729065,34.58854,1000.8113,19.333736,27.14313,0.0
2025-03-22_21:00:00,2.7567148208618164e-07,34.3105,39.251945,1001.2686,17.08663,302.21976,0.0
2025-03-22_22:00:00,2.1230429410934448e-05,31.246109,47.634212,1003.15405,9.266661,289.7731,0.0
2025-03-22_23:00:00,0.008885964751243591,28.177998,62.24572,1003.7942,14.982893,173.79532,0.0
2025-03-23_00:00:00,0.005679757567122579,28.067862,56.752613,1003.9095,10.849301,155.7024,0.0
