Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,25.103458,60.297264,1008.78345,4.8401737,266.02765,0.0
2025-03-20_01:00:00,0.0,23.333113,68.553085,1008.58154,3.3913476,179.35916,0.0
2025-03-20_02:00:00,0.0,22.514368,69.44959,1009.52435,9.126362,112.96362,0.0
2025-03-20_03:00:00,0.0,22.325066,69.307846,1009.5381,10.3086,109.10712,0.0
2025-03-20_04:00:00,0.0,21.752192,71.99694,1009.61993,11.00887,95.39212,0.0
2025-03-20_05:00:00,0.0,21.486776,73.72696,1009.6803,12.420388,92.116394,0.0
2025-03-20_06:00:00,0.0,21.508703,74.08339,1009.68713,14.684919,85.17524,0.0
2025-03-20_07:00:00,0.0,21.295559,75.691666,1010.4617,16.204144,83.556854,0.0
2025-03-20_08:00:00,0.0,20.531395,79.66776,1011.13025,15.753285,88.19857,0.0
2025-03-20_09:00:00,0.0,19.93946,83.11375,1011.76794,16.046692,88.67442,0.0
2025-03-20_10:00:00,0.0,20.07467,84.04178,1012.26154,17.062773,89.495056,0.0
2025-03-20_11:00:00,0.0,22.266237,75.3916,1012.4446,19.471481,89.95131,0.0
2025-03-20_12:00:00,0.0,24.510214,66.3956,1012.36084,18.770817,87.95941,0.0
2025-03-20_13:00:00,0.0,26.696957,58.26487,1011.60803,17.299923,87.44232,0.0
2025-03-20_14:00:00,0.0,28.65138,50.911015,1010.7544,15.267303,91.509186,0.0
2025-03-20_15:00:00,0.0,30.256437,44.28093,1009.80707,13.923172,98.50012,0.0
2025-03-20_16:00:00,0.0,31.465979,38.587547,1008.9122,13.332574,109.901276,0.0
2025-03-20_17:00:00,0.0,32.366554,33.47962,1008.1394,12.863512,120.94243,0.0
2025-03-20_18:00:00,0.0,32.96503,29.655867,1007.4574,11.919803,128.12044,0.0
2025-03-20_19:00:00,0.0,33.252235,27.916645,1007.2937,12.013108,130.23398,0.0
2025-03-20_20:00:00,0.0,33.164444,27.806639,1007.3805,13.282853,128.86739,0.0
2025-03-20_21:00:00,0.0,32.37974,28.756638,1007.7063,14.240535,132.31163,0.0
2025-03-20_22:00:00,0.0,28.469728,34.954834,1008.62634,11.755227,132.98822,0.0
2025-03-20_23:00:00,0.0,27.63774,35.774235,1009.0322,12.849983,137.02473,0.0
2025-03-21_00:00:00,0.0,26.701271,35.38503,1009.39703,13.243905,136.3403,0.0
2025-03-21_01:00:00,0.0,26.3454,36.454624,1009.3367,15.577157,127.70086,0.0
2025-03-21_02:00:00,0.0,25.393084,38.10768,1009.38196,17.661718,112.91163,0.0
2025-03-21_03:00:00,0.0,24.964577,40.288586,1009.54285,18.055035,108.46446,0.0
2025-03-21_04:00:00,0.0,24.427479,44.559402,1009.56946,18.9106,108.285736,0.0
2025-03-21_05:00:00,0.0,23.866251,48.531605,1009.7158,19.834188,107.64354,0.0
2025-03-21_06:00:00,0.0,23.147999,51.9986,1009.9704,19.47715,104.796295,0.0
2025-03-21_07:00:00,0.0,22.707712,53.330082,1011.07825,20.412703,86.281906,0.0
2025-03-21_08:00:00,0.0,22.34817,55.64518,1011.46765,19.727339,88.123695,0.0
2025-03-21_09:00:00,0.0,21.789194,59.472977,1011.8594,20.863142,88.099464,0.0
2025-03-21_10:00:00,0.0,21.94047,63.20428,1012.242,26.263798,86.72345,0.0
2025-03-21_11:00:00,0.0,23.291574,61.398872,1012.4193,24.229708,87.48233,0.0
2025-03-21_12:00:00,0.0,25.625237,55.26901,1012.33154,21.82029,83.03029,0.0
2025-03-21_13:00:00,0.0,28.032803,48.711517,1011.47314,18.55267,78.39548,0.0
2025-03-21_14:00:00,0.0,30.017738,43.51433,1010.57544,16.012749,73.01878,0.0
2025-03-21_15:00:00,0.0,31.659786,38.324455,1009.47473,13.762759,71.09881,0.0
2025-03-21_16:00:00,0.0,32.80745,32.606995,1008.3219,8.914767,78.910645,0.0
2025-03-21_17:00:00,0.0,33.630943,29.250957,1007.30457,5.954723,89.99075,0.0
2025-03-21_18:00:00,0.0,34.213974,27.514587,1006.39105,5.060246,114.3699,0.0
2025-03-21_19:00:00,0.0,34.37433,26.87319,1006.2001,5.659166,137.92085,0.0
2025-03-21_20:00:00,0.0,34.340446,26.615078,1006.3071,7.168923,135.54625,0.0
2025-03-21_21:00:00,0.0,33.275696,28.709515,1006.6892,7.2549486,145.04236,0.0
2025-03-21_22:00:00,0.0,29.652084,33.41233,1007.3965,10.362989,146.25797,0.0
2025-03-21_23:00:00,0.0,28.933523,32.686913,1008.0447,13.41319,124.60709,0.0
2025-03-22_00:00:00,0.0,28.041399,32.67679,1008.42163,12.746302,122.98364,0.0
2025-03-22_01:00:00,0.0,27.821066,31.381006,1008.1006,14.83344,137.07889,0.0
2025-03-22_02:00:00,0.0004154772341280477,28.837566,30.301264,1007.9184,19.257858,123.184845,0.0
2025-03-22_03:00:00,9.170101839117706e-05,27.806871,32.20526,1008.2063,17.619444,94.92941,0.0
2025-03-22_04:00:00,0.0,24.692583,40.164673,1008.9923,11.964397,58.61769,0.0
2025-03-22_05:00:00,0.0,24.872131,40.740368,1008.87823,13.4050865,65.32022,0.0
2025-03-22_06:00:00,0.0,23.480972,43.52793,1009.0255,11.223931,70.588425,0.0
2025-03-22_07:00:00,0.0,22.62625,44.123943,1009.6001,10.724412,93.96836,0.0
2025-03-22_08:00:00,0.0,21.90254,45.98153,1010.1305,10.506988,94.95884,0.0
2025-03-22_09:00:00,0.0,21.500761,47.726624,1010.41974,10.328051,85.858955,0.0
2025-03-22_10:00:00,0.0,22.315966,48.25807,1010.75006,13.761785,66.37746,0.0
2025-03-22_11:00:00,0.0,25.081276,55.872818,1010.5492,13.497621,47.442535,0.0
2025-03-22_12:00:00,0.0,28.260303,54.1028,1010.14343,16.314426,41.190636,0.0
2025-03-22_13:00:00,0.0,30.08447,50.314465,1009.1466,16.837725,46.867176,0.0
2025-03-22_14:00:00,0.0,31.727407,44.841637,1008.0477,17.672216,39.914215,0.0
2025-03-22_15:00:00,0.0,32.937473,41.402725,1006.78564,16.587786,29.180168,0.0
2025-03-22_16:00:00,0.0,34.02913,37.302605,1005.46655,13.779124,21.53756,0.0
2025-03-22_17:00:00,0.0,34.842247,34.500416,1004.1111,11.596401,15.935652,0.0
2025-03-22_18:00:00,0.0,35.494965,31.713644,1002.91455,10.192289,51.99185,0.0
2025-03-22_19:00:00,0.0,35.836838,29.152533,1002.5183,7.782433,265.49457,0.0
2025-03-22_20:00:00,0.5177433195590311,33.604145,36.13436,1003.1573,17.898066,302.24094,0.0
2025-03-22_21:00:00,0.4231370805064216,32.380653,39.257202,1003.6206,10.517768,140.63904,0.0
2025-03-22_22:00:00,0.00800778204575181,28.216341,60.35624,1005.37775,17.524092,91.92467,0.0
2025-03-22_23:00:00,0.640026118606329,26.515955,70.546585,1006.6758,21.392427,100.61296,0.0
2025-03-23_00:00:00,0.7741129957139492,25.565668,73.11697,1006.7776,22.171427,75.43385,0.0
