Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.655245,65.45364,1013.8165,7.663084,137.44067,0.0
2025-03-20_01:00:00,0.0,22.932476,76.54164,1014.2972,8.164209,105.24254,0.0
2025-03-20_02:00:00,0.0,22.243603,83.22467,1014.621,8.441369,73.87163,0.0
2025-03-20_03:00:00,0.0,21.656952,88.43442,1014.69965,8.917802,67.09891,0.0
2025-03-20_04:00:00,0.0,21.096302,91.283966,1015.1306,8.588328,67.23365,0.0
2025-03-20_05:00:00,0.0,20.620016,92.998795,1015.2656,8.2104435,72.89421,0.0
2025-03-20_06:00:00,0.0,20.235977,94.02289,1015.56006,7.9207478,86.067345,0.0
2025-03-20_07:00:00,0.0,19.962769,94.67413,1016.11865,8.14767,98.15871,0.0
2025-03-20_08:00:00,0.0,19.645308,95.06326,1016.5697,8.203229,108.31236,0.0
2025-03-20_09:00:00,0.0,19.476263,95.03775,1016.9352,8.758727,112.57702,0.0
2025-03-20_10:00:00,0.0,20.625156,91.83168,1017.0736,8.868775,110.50901,0.0
2025-03-20_11:00:00,0.0,23.510344,76.37462,1016.98004,12.515594,104.44191,0.0
2025-03-20_12:00:00,0.0,25.602068,67.061325,1016.89996,12.729145,98.04298,0.0
2025-03-20_13:00:00,0.0,27.450474,59.919777,1016.176,11.619803,87.402954,0.0
2025-03-20_14:00:00,0.0,28.783821,54.65074,1015.36163,11.219704,81.42511,0.0
2025-03-20_15:00:00,0.0,29.997667,49.646584,1014.468,9.314102,82.051926,0.0
2025-03-20_16:00:00,0.0,31.367947,43.07321,1013.4964,7.81853,108.09462,0.0
2025-03-20_17:00:00,0.0,32.55002,36.86088,1012.5681,9.062047,151.21909,0.0
2025-03-20_18:00:00,0.0,33.432465,31.60123,1011.77454,9.608828,137.45793,0.0
2025-03-20_19:00:00,0.0,33.860157,29.372612,1011.558,9.1007185,137.00446,0.0
2025-03-20_20:00:00,0.0,33.953423,28.630356,1011.5951,9.709782,138.91833,0.0
2025-03-20_21:00:00,0.0,33.224373,30.650597,1011.964,11.152247,150.25877,0.0
2025-03-20_22:00:00,0.0,29.435787,36.75562,1012.7768,11.977765,147.0304,0.0
2025-03-20_23:00:00,0.0,28.679798,42.514515,1013.3951,14.924142,118.16419,0.0
2025-03-21_00:00:00,0.0,27.649986,43.027607,1013.9376,15.475046,130.28537,0.0
2025-03-21_01:00:00,0.0,26.370058,45.54924,1014.0443,14.610575,131.60498,0.0
2025-03-21_02:00:00,0.0,25.510384,49.930214,1014.3231,13.765655,74.18521,0.0
2025-03-21_03:00:00,0.0,24.825447,56.877567,1014.80505,11.471888,56.435814,0.0
2025-03-21_04:00:00,0.0,24.173042,60.067226,1015.0186,10.983763,80.531624,0.0
2025-03-21_05:00:00,0.0,23.135172,65.02812,1015.3619,9.293297,86.80697,0.0
2025-03-21_06:00:00,0.0,22.700096,62.63212,1015.5031,11.022818,96.06528,0.0
2025-03-21_07:00:00,0.0,22.797369,65.9636,1016.07556,13.057886,96.34177,0.0
2025-03-21_08:00:00,0.0,22.842363,68.651505,1016.4889,12.614683,88.20145,0.0
2025-03-21_09:00:00,0.0,21.615854,74.68768,1016.92993,10.605019,100.87285,0.0
2025-03-21_10:00:00,0.0,22.797302,69.00688,1017.17053,10.159334,120.720184,0.0
2025-03-21_11:00:00,0.0,24.4093,64.07564,1017.2231,11.194829,116.83396,0.0
2025-03-21_12:00:00,0.0,26.635977,57.655197,1017.08813,11.695865,95.52239,0.0
2025-03-21_13:00:00,0.0,28.438974,52.063263,1016.2137,12.331326,77.3932,0.0
2025-03-21_14:00:00,0.0,29.985733,47.3759,1015.2301,12.786958,71.25426,0.0
2025-03-21_15:00:00,0.0,31.271393,43.382282,1014.2499,12.291509,68.76244,0.0
2025-03-21_16:00:00,0.0,32.314495,40.247414,1013.2069,11.269494,68.781204,0.0
2025-03-21_17:00:00,0.0,33.160397,37.957787,1012.14136,10.748487,71.800354,0.0
2025-03-21_18:00:00,0.0,33.760506,36.30809,1011.1737,10.895081,78.08594,0.0
2025-03-21_19:00:00,0.0,33.91147,36.181656,1011.1325,12.677888,81.27017,0.0
2025-03-21_20:00:00,0.0,33.72303,36.521507,1011.1764,12.409032,67.70202,0.0
2025-03-21_21:00:00,0.0,32.68348,39.23037,1011.44653,13.904191,60.528023,0.0
2025-03-21_22:00:00,0.0,30.459736,46.172146,1012.3805,19.07515,52.240177,0.0
2025-03-21_23:00:00,4.578787866194034e-05,28.23869,54.756363,1013.0144,12.238822,54.205444,0.0
2025-03-22_00:00:00,0.0,27.677734,57.174953,1013.7723,13.919663,179.23529,0.0
2025-03-22_01:00:00,0.0,27.565205,61.571777,1013.9768,21.83197,342.90665,0.0
2025-03-22_02:00:00,0.0,25.407291,70.971565,1014.1737,13.429509,313.54532,0.0
2025-03-22_03:00:00,0.0,24.935358,70.55965,1014.15356,9.326613,181.78603,0.0
2025-03-22_04:00:00,0.0,24.606504,71.19424,1014.1651,9.504528,157.2301,0.0
2025-03-22_05:00:00,0.0,23.902113,74.58087,1014.5299,8.087103,104.27318,0.0
2025-03-22_06:00:00,0.0,23.379597,79.174484,1014.66376,8.71967,84.46645,0.0
2025-03-22_07:00:00,0.0,22.73178,85.94593,1015.3252,8.131381,66.27826,0.0
2025-03-22_08:00:00,0.0,22.113869,90.880035,1015.8218,8.025781,52.913902,0.0
2025-03-22_09:00:00,0.0,21.712816,93.04738,1016.1669,8.05085,56.270393,0.0
2025-03-22_10:00:00,2.7617885342214868e-05,22.99699,86.11813,1016.1511,10.61546,62.128532,0.0
2025-03-22_11:00:00,0.010716994538597646,25.378721,73.98363,1016.101,9.510862,59.54022,0.0
2025-03-22_12:00:00,0.007119369685824495,27.671463,65.11587,1015.8955,11.862785,51.95143,0.0
2025-03-22_13:00:00,0.000640756799839437,29.257113,59.77182,1014.9573,11.90668,56.495613,0.0
2025-03-22_14:00:00,0.0,30.53897,55.3531,1013.849,11.351461,58.41823,0.0
2025-03-22_15:00:00,0.16543308427208103,31.164246,53.360687,1012.62085,10.634859,65.81113,0.0
2025-03-22_16:00:00,1.1834197044372559,30.221035,58.83194,1011.91223,14.7443285,194.64151,0.0
