Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,22.609331,54.769966,1018.2975,7.494963,146.1997,0.0
2025-03-20_01:00:00,0.0,20.501797,62.337997,1018.58215,10.335596,159.41272,0.0
2025-03-20_02:00:00,0.0,20.76055,59.5281,1017.96124,12.914159,166.89336,0.0
2025-03-20_03:00:00,0.0,20.40226,59.244415,1018.22644,13.070214,165.795,0.0
2025-03-20_04:00:00,0.0,19.570425,61.298103,1018.5638,11.557695,155.34831,0.0
2025-03-20_05:00:00,0.0,18.76058,63.711613,1018.6867,10.84429,140.03328,0.0
2025-03-20_06:00:00,0.0,17.862457,66.77896,1019.057,10.083877,129.19904,0.0
2025-03-20_07:00:00,0.0,17.57417,66.7018,1019.4701,10.229945,125.71222,0.0
2025-03-20_08:00:00,0.0,17.54179,67.03596,1019.9528,10.723203,120.90813,0.0
2025-03-20_09:00:00,0.0,16.524475,74.68053,1020.8742,10.247878,88.19898,0.0
2025-03-20_10:00:00,0.0,16.356323,77.04491,1021.3771,10.339887,87.196686,0.0
2025-03-20_11:00:00,0.0,19.968582,68.30759,1021.40643,14.522154,70.71693,0.0
2025-03-20_12:00:00,0.0,23.132719,62.12214,1021.1028,16.987774,47.085274,0.0
2025-03-20_13:00:00,0.0,25.765537,57.176445,1020.3103,18.044512,41.088272,0.0
2025-03-20_14:00:00,0.0,27.993343,50.750946,1019.44116,17.020565,38.78868,0.0
2025-03-20_15:00:00,0.0,29.627972,45.176292,1018.5773,14.385979,38.252373,0.0
2025-03-20_16:00:00,0.0,30.77758,40.372196,1017.7477,11.436806,40.312622,0.0
2025-03-20_17:00:00,0.0,31.586082,36.768105,1017.0073,9.143763,48.73288,0.0
2025-03-20_18:00:00,0.0,32.182983,33.970043,1016.33167,7.9426017,67.13132,0.0
2025-03-20_19:00:00,0.0,32.492336,30.824867,1016.0725,7.870777,85.783966,0.0
2025-03-20_20:00:00,0.0,32.557816,28.161064,1016.00085,7.1788144,83.81387,0.0
2025-03-20_21:00:00,0.00013497562940756325,31.656017,31.914263,1016.17426,7.685192,134.54053,0.0
2025-03-20_22:00:00,9.152772690868005e-06,26.960848,43.475697,1017.1207,10.092782,115.77318,0.0
2025-03-20_23:00:00,0.0,25.427864,46.78349,1017.6987,10.662638,122.410194,0.0
2025-03-21_00:00:00,0.0,24.877615,46.10432,1017.9292,11.6532545,119.55031,0.0
2025-03-21_01:00:00,0.0,24.106382,47.464508,1017.90076,11.859101,115.95155,0.0
2025-03-21_02:00:00,0.0,23.598904,48.953644,1017.89417,12.016272,106.6472,0.0
2025-03-21_03:00:00,0.0,23.333279,49.783566,1017.9438,12.622405,98.88573,0.0
2025-03-21_04:00:00,0.0,22.009823,53.99602,1018.18713,11.16974,91.01329,0.0
2025-03-21_05:00:00,0.0,21.82146,53.587685,1018.27954,11.690355,67.78348,0.0
2025-03-21_06:00:00,0.0,20.806835,56.550285,1018.38196,10.411389,70.69834,0.0
2025-03-21_07:00:00,0.0,20.18797,59.004322,1018.97156,10.651343,77.7345,0.0
2025-03-21_08:00:00,0.0,19.626059,62.10608,1019.64166,9.8187685,69.54434,0.0
2025-03-21_09:00:00,0.0,18.956013,65.55299,1020.3178,9.709485,80.91702,0.0
2025-03-21_10:00:00,0.0,19.450909,66.130585,1020.8119,11.299231,80.68057,0.0
2025-03-21_11:00:00,0.0,22.748014,57.168022,1020.7478,15.295212,59.88237,0.0
2025-03-21_12:00:00,0.0,25.101578,52.81185,1020.69165,17.160183,52.009834,0.0
2025-03-21_13:00:00,0.0,27.584803,45.857975,1019.82275,18.320444,48.119423,0.0
2025-03-21_14:00:00,0.0,29.567692,39.273663,1019.0119,19.707233,39.47448,0.0
2025-03-21_15:00:00,0.0,31.018814,33.58769,1018.01416,16.99804,43.543594,0.0
2025-03-21_16:00:00,0.0,32.169487,27.7666,1017.0126,13.234845,45.957256,0.0
2025-03-21_17:00:00,0.0,32.81276,25.023392,1016.1759,9.41506,51.75425,0.0
