Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,23.722155,61.0232,1014.6861,7.983883,145.42358,0.0
2025-03-20_01:00:00,0.0,21.931103,66.83266,1014.63904,10.8299885,136.80939,0.0
2025-03-20_02:00:00,0.0,21.588541,67.26373,1014.6087,10.966141,128.80011,0.0
2025-03-20_03:00:00,0.0,21.541231,66.65002,1014.95544,10.877234,121.5643,0.0
2025-03-20_04:00:00,0.0,21.483593,66.23108,1014.9676,11.176038,124.79469,0.0
2025-03-20_05:00:00,0.0,21.04145,68.39728,1015.1,13.1869,149.63715,0.0
2025-03-20_06:00:00,0.0,19.66734,76.91272,1015.74207,17.249607,145.93085,0.0
2025-03-20_07:00:00,0.0,19.305912,78.968094,1016.1633,14.237214,146.73866,0.0
2025-03-20_08:00:00,0.0,19.266294,78.9709,1016.6233,15.53095,140.46855,0.0
2025-03-20_09:00:00,0.0,18.924816,79.79521,1017.10205,15.624913,136.80576,0.0
2025-03-20_10:00:00,0.0,18.229908,83.08879,1017.59814,14.360094,138.239,0.0
2025-03-20_11:00:00,0.0,21.687237,68.20756,1017.2866,16.461197,133.57855,0.0
2025-03-20_12:00:00,0.0,25.63666,56.446533,1016.6106,16.262402,113.5755,0.0
2025-03-20_13:00:00,0.0,28.628405,48.215096,1015.69214,16.966444,99.21306,0.0
2025-03-20_14:00:00,0.0,30.344843,42.170258,1014.93634,15.896427,92.495285,0.0
2025-03-20_15:00:00,0.0,31.412683,36.672623,1014.1559,12.986478,90.093094,0.0
2025-03-20_16:00:00,0.0,32.280388,32.70032,1013.3003,10.472331,89.78227,0.0
2025-03-20_17:00:00,0.0,33.06905,30.015247,1012.4493,8.880041,89.710686,0.0
2025-03-20_18:00:00,0.0,33.43814,28.383034,1011.7435,7.4620323,92.807396,0.0
2025-03-20_19:00:00,6.839838988526026e-06,33.325897,28.361677,1011.7091,8.51396,100.54026,0.0
2025-03-20_20:00:00,2.521196620364208e-07,33.346222,28.288084,1011.7208,6.950754,97.602615,0.0
2025-03-20_21:00:00,8.259325113613158e-05,32.591805,30.014566,1012.073,10.107439,110.267,0.0
2025-03-20_22:00:00,0.0,29.976618,34.469986,1012.8399,10.030365,115.53972,0.0
2025-03-20_23:00:00,5.456402504933067e-05,29.33707,35.70015,1013.27625,13.465371,119.16268,0.0
2025-03-21_00:00:00,6.20431819697842e-07,27.939785,38.833282,1013.82526,14.594363,123.47037,0.0
2025-03-21_01:00:00,0.0,26.595903,42.47158,1013.8979,15.500201,107.81959,0.0
2025-03-21_02:00:00,0.0,26.404135,42.16111,1013.7562,17.423512,103.85242,0.0
2025-03-21_03:00:00,0.0,26.166252,41.077816,1013.9131,18.911734,98.019516,0.0
2025-03-21_04:00:00,0.0,26.423016,38.06511,1013.99414,20.97279,98.44118,0.0
2025-03-21_05:00:00,0.0,25.772058,36.84374,1014.1299,22.685484,92.62134,0.0
2025-03-21_06:00:00,0.0,25.436632,37.03604,1014.20636,26.014793,87.88066,0.0
2025-03-21_07:00:00,0.0,25.025234,39.024353,1014.75446,25.53414,84.1125,0.0
2025-03-21_08:00:00,0.0,25.03435,39.7366,1015.18835,27.975435,81.276215,0.0
