Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.346,75.9635,1009.84247,5.316811,135.89825,0.0
2025-03-20_01:00:00,0.0,23.159409,79.94368,1009.9081,7.392532,134.8608,0.0
2025-03-20_02:00:00,0.0,22.990162,81.06976,1010.15564,10.095918,102.80086,0.0
2025-03-20_03:00:00,0.0,22.503365,84.16084,1010.3056,9.774324,89.31775,0.0
2025-03-20_04:00:00,0.0,22.192698,85.72822,1010.7416,9.754544,82.03171,0.0
2025-03-20_05:00:00,0.0,21.76529,87.69205,1010.78357,9.357835,77.745804,0.0
2025-03-20_06:00:00,0.0,21.494852,88.37036,1010.73236,9.796838,76.124176,0.0
2025-03-20_07:00:00,0.0,21.216288,88.86966,1011.3289,9.845974,86.16564,0.0
2025-03-20_08:00:00,0.0,20.961273,90.14019,1011.6885,10.092453,81.726845,0.0
2025-03-20_09:00:00,0.0,20.500238,91.6261,1011.9498,9.583874,71.65651,0.0
2025-03-20_10:00:00,0.0,20.367376,91.773026,1012.2505,9.239884,72.83389,0.0
2025-03-20_11:00:00,0.0,24.346046,76.12355,1011.80505,8.1543045,77.98672,0.0
2025-03-20_12:00:00,0.0,27.357489,63.719315,1011.3677,7.9805903,96.44629,0.0
2025-03-20_13:00:00,0.0,29.47665,53.319607,1010.6355,9.157305,107.49498,0.0
2025-03-20_14:00:00,0.0,30.558525,49.524475,1009.92255,8.912384,126.0613,0.0
2025-03-20_15:00:00,0.0,31.371862,47.431183,1009.27856,9.13584,137.70645,0.0
2025-03-20_16:00:00,0.0,32.078125,45.66783,1008.6283,9.248044,149.62521,0.0
2025-03-20_17:00:00,0.0,32.542862,44.15374,1008.04315,9.105705,154.72806,0.0
2025-03-20_18:00:00,0.051466171379161096,32.811245,43.620583,1007.4745,7.986619,115.00283,0.0
2025-03-20_19:00:00,0.0036916284516337328,33.209938,42.44818,1007.176,6.549873,144.17758,0.0
2025-03-20_20:00:00,0.41801752639366896,31.946444,47.99382,1007.70074,10.181104,254.23145,0.0
2025-03-20_21:00:00,0.04159389932283375,31.810413,48.575333,1007.78345,5.736607,289.0328,0.0
2025-03-20_22:00:00,0.00023268908262252808,28.851944,58.855633,1008.6436,6.963796,331.59863,0.0
2025-03-20_23:00:00,3.888423088937998e-05,26.975462,67.784424,1009.33386,8.45182,217.97774,0.0
2025-03-21_00:00:00,0.0,26.32078,68.95914,1009.7319,7.8116927,100.96388,0.0
2025-03-21_01:00:00,0.0,25.629768,71.196846,1009.7315,9.346342,56.80156,0.0
2025-03-21_02:00:00,0.0,25.01275,72.90644,1009.7227,9.916133,46.763874,0.0
2025-03-21_03:00:00,0.0,24.759623,72.84627,1009.7189,10.196404,47.76922,0.0
2025-03-21_04:00:00,0.003625237708547502,25.490582,69.21216,1009.97906,12.1435795,95.443436,0.0
2025-03-21_05:00:00,1.1904199130367488,24.538128,77.46785,1010.28577,6.3247757,124.30351,0.0
2025-03-21_06:00:00,0.05986790079623461,23.716494,80.83244,1010.0968,10.169486,41.803967,0.0
2025-03-21_07:00:00,3.212690353393555e-05,23.329165,82.19416,1010.6539,11.202764,51.67372,0.0
2025-03-21_08:00:00,0.0,22.797775,85.00429,1011.0922,11.207521,43.66948,0.0
2025-03-21_09:00:00,0.0,22.383503,87.79181,1011.5377,11.357041,49.517822,0.0
2025-03-21_10:00:00,0.0,22.962873,86.27567,1011.85144,11.117924,52.782394,0.0
2025-03-21_11:00:00,0.0,25.45884,77.64891,1011.74286,12.242017,41.292896,0.0
2025-03-21_12:00:00,0.0,28.263046,67.830925,1011.4717,10.408243,25.53201,0.0
2025-03-21_13:00:00,0.0,30.27238,58.483536,1010.65533,6.952291,14.666851,0.0
2025-03-21_14:00:00,0.0,31.482037,50.766518,1009.78784,3.6152778,70.747955,0.0
2025-03-21_15:00:00,0.0,32.419823,45.53586,1008.94324,3.6943781,41.320927,0.0
2025-03-21_16:00:00,0.0016399063169956207,33.209824,41.677734,1008.0779,3.6668954,128.77411,0.0
2025-03-21_17:00:00,0.11449035245459527,33.406544,40.95706,1007.2937,5.6250453,215.1831,0.0
2025-03-21_18:00:00,0.44742031453642994,31.276688,49.352764,1007.23755,24.284422,284.04538,0.0
2025-03-21_19:00:00,0.48979747272096574,32.450706,44.44313,1007.19006,9.46657,276.26892,0.0
2025-03-21_20:00:00,0.01727537263650447,32.978756,41.971714,1007.14355,4.686008,123.72385,0.0
2025-03-21_21:00:00,0.012862206436693668,30.042536,57.061745,1008.2477,20.564922,58.297306,0.0
2025-03-21_22:00:00,0.11412853677757084,27.241608,61.05005,1008.839,10.718114,83.9007,0.0
2025-03-21_23:00:00,1.167106672655791,26.841204,65.107925,1009.2726,8.485378,175.77611,0.0
2025-03-22_00:00:00,0.02566177351400256,26.203959,66.70101,1009.53326,9.325685,59.254803,0.0
2025-03-22_01:00:00,0.0,25.673586,73.951836,1009.60803,10.023668,57.245598,0.0
2025-03-22_02:00:00,0.0,25.688454,74.48448,1009.65314,11.809537,57.945522,0.0
2025-03-22_03:00:00,0.003461800515651703,25.298405,77.1206,1009.70447,10.967955,51.957397,0.0
2025-03-22_04:00:00,0.0039034662768244743,24.999924,79.25736,1009.7658,11.868769,47.05214,0.0
2025-03-22_05:00:00,0.0020512090995907784,24.52813,81.016426,1009.8042,11.355315,38.131805,0.0
2025-03-22_06:00:00,0.0014554380904883146,24.151634,82.11629,1009.93164,11.588684,35.162487,0.0
2025-03-22_07:00:00,0.0004945900291204453,23.76722,83.40824,1010.43036,11.382483,38.29489,0.0
2025-03-22_08:00:00,0.0007495610043406487,23.377707,84.89449,1010.8116,11.264448,42.10952,0.0
2025-03-22_09:00:00,0.0,23.033184,86.44377,1011.20044,10.957739,45.650017,0.0
2025-03-22_10:00:00,0.0,24.164833,81.955826,1011.3054,13.564633,47.145683,0.0
2025-03-22_11:00:00,0.0,26.069124,75.73869,1011.2356,14.116958,32.80703,0.0
2025-03-22_12:00:00,0.0,28.536926,65.83023,1010.9699,16.584005,18.64317,0.0
2025-03-22_13:00:00,0.0,30.234867,56.3752,1010.11084,16.987541,5.846158,0.0
2025-03-22_14:00:00,0.0,31.372618,50.05762,1009.17114,14.636558,68.512764,0.0
2025-03-22_15:00:00,0.0,32.342407,45.7563,1008.194,13.1946535,27.119268,0.0
2025-03-22_16:00:00,0.0,33.0686,42.935127,1007.1153,13.153148,29.368603,0.0
2025-03-22_17:00:00,0.0,33.62891,41.17844,1006.079,14.550607,8.649186,0.0
2025-03-22_18:00:00,0.17384826205670834,33.448925,41.838474,1005.33136,15.642708,198.20395,0.0
2025-03-22_19:00:00,1.6202921739313751,31.0754,51.343895,1005.7176,13.795216,158.70938,0.0
2025-03-22_20:00:00,1.2053329152986407,29.730574,57.10295,1006.3078,21.008661,178.30647,0.0
2025-03-22_21:00:00,4.43609220162034,28.153706,64.610855,1006.7125,7.4419103,163.65329,0.0
2025-03-22_22:00:00,0.04251760244369507,27.246222,67.24162,1007.0895,7.8078623,57.882988,0.0
2025-03-22_23:00:00,0.0,26.463413,69.704636,1007.9687,10.804066,28.249443,0.0
2025-03-23_00:00:00,0.0,26.011978,71.77023,1008.20605,12.681914,24.396114,0.0
