Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,23.65916,71.705215,1012.5891,3.0391445,110.57474,0.0
2025-03-20_01:00:00,0.0,21.717484,78.636444,1012.71136,6.1788015,144.65662,0.0
2025-03-20_02:00:00,0.0,21.29479,79.456406,1013.17896,6.711473,123.00046,0.0
2025-03-20_03:00:00,0.0,20.825022,80.3091,1013.4475,8.407687,123.14638,0.0
2025-03-20_04:00:00,0.0,20.51114,80.24484,1013.68463,8.362901,111.337845,0.0
2025-03-20_05:00:00,0.0,20.111843,80.05796,1013.7273,8.354217,115.81961,0.0
2025-03-20_06:00:00,0.0,19.877094,78.64168,1013.849,8.412275,114.08971,0.0
2025-03-20_07:00:00,0.0,19.611832,77.77792,1014.3564,8.468128,113.31158,0.0
2025-03-20_08:00:00,0.0,19.24572,77.597824,1014.6193,8.743921,112.83187,0.0
2025-03-20_09:00:00,0.0,19.018929,79.162224,1015.171,12.105864,109.859276,0.0
2025-03-20_10:00:00,0.0,18.869741,80.9718,1015.4327,11.780306,111.25167,0.0
2025-03-20_11:00:00,0.0,23.531452,64.0909,1014.45447,14.300323,100.1022,0.0
2025-03-20_12:00:00,0.0,25.641447,58.80964,1014.14685,15.979056,92.61511,0.0
2025-03-20_13:00:00,0.0,27.375078,53.34029,1013.4614,15.718331,89.67472,0.0
2025-03-20_14:00:00,0.0,28.615791,49.095146,1012.8435,14.369969,87.27606,0.0
2025-03-20_15:00:00,0.0,29.450521,45.990936,1012.20447,12.861549,84.21841,0.0
2025-03-20_16:00:00,0.0,30.25244,42.47567,1011.40784,10.166442,80.467606,0.0
2025-03-20_17:00:00,0.0,31.022348,39.28711,1010.5955,8.649365,76.65102,0.0
2025-03-20_18:00:00,0.0019336444708599743,31.370344,38.366035,1009.91907,9.757702,108.27803,0.0
2025-03-20_19:00:00,0.12177338595650156,30.960102,39.75837,1010.0267,11.354959,147.73647,0.0
2025-03-20_20:00:00,0.1766422018481535,31.027035,38.311638,1010.0959,6.2898903,114.96253,0.0
2025-03-20_21:00:00,0.0008335995225934312,30.941025,38.90615,1010.2119,5.742232,103.88959,0.0
2025-03-20_22:00:00,3.907704376615584e-05,27.70344,49.126358,1011.2816,6.3951936,72.82591,0.0
2025-03-20_23:00:00,0.0,26.596968,53.779316,1011.8445,7.7852483,97.099335,0.0
2025-03-21_00:00:00,0.0,26.174545,53.92478,1012.188,5.8630795,97.70422,0.0
2025-03-21_01:00:00,0.0,25.610415,54.95468,1012.2485,11.535439,107.46353,0.0
2025-03-21_02:00:00,0.007203602115623653,24.813154,57.649044,1012.4707,12.060336,96.73805,0.0
2025-03-21_03:00:00,0.011748329183319584,24.124573,60.18034,1012.60785,10.332753,122.534134,0.0
2025-03-21_04:00:00,0.014537207200191915,23.90277,61.47603,1012.8573,9.698942,104.13516,0.0
2025-03-21_05:00:00,0.005946625140495598,22.846117,67.336975,1013.13226,7.780301,134.48175,0.0
2025-03-21_06:00:00,4.5585911720991135e-05,22.72461,67.1427,1013.0079,13.358389,76.463,0.0
2025-03-21_07:00:00,0.0,22.043867,72.80762,1013.6,11.62468,82.59017,0.0
2025-03-21_08:00:00,0.0,21.256763,76.48688,1014.1885,10.056596,94.05204,0.0
2025-03-21_09:00:00,0.0,21.128784,77.857056,1014.5365,9.947608,77.961365,0.0
2025-03-21_10:00:00,0.0,22.074339,75.6356,1014.65564,10.009477,65.72874,0.0
2025-03-21_11:00:00,0.0,24.827753,65.08935,1014.3329,12.438389,76.39077,0.0
2025-03-21_12:00:00,0.0,27.229841,56.34922,1013.94763,12.735536,70.72331,0.0
2025-03-21_13:00:00,0.0,28.123709,52.90386,1013.45074,16.408342,74.369,0.0
2025-03-21_14:00:00,0.0,29.026232,49.269135,1012.7926,17.034697,72.58744,0.0
2025-03-21_15:00:00,0.0,29.859997,46.49977,1012.0159,16.25337,70.927246,0.0
2025-03-21_16:00:00,0.0,30.75709,42.364735,1011.09546,12.319964,65.23154,0.0
2025-03-21_17:00:00,0.0,31.561598,37.93784,1010.07837,9.969863,65.22273,0.0
2025-03-21_18:00:00,1.1641532182693481e-08,32.1684,34.654617,1009.2134,8.852361,69.72811,0.0
2025-03-21_19:00:00,0.0,32.502785,32.906265,1008.8967,6.1694307,86.45798,0.0
2025-03-21_20:00:00,0.0,32.520836,32.534195,1009.1487,6.660468,111.11138,0.0
2025-03-21_21:00:00,0.0,31.94982,33.4798,1009.353,6.708132,119.081604,0.0
2025-03-21_22:00:00,0.0,28.734015,39.42623,1010.57684,7.3658953,100.21909,0.0
2025-03-21_23:00:00,0.0,27.586384,39.367287,1011.2603,7.8682947,73.66735,0.0
2025-03-22_00:00:00,0.0,26.76765,41.170753,1011.66516,7.08383,79.623276,0.0
2025-03-22_01:00:00,0.0,26.211842,42.64904,1011.5981,6.3662653,62.051792,0.0
2025-03-22_02:00:00,0.0,25.58788,44.82643,1011.47876,6.950423,46.226685,0.0
2025-03-22_03:00:00,0.0,24.7769,48.208134,1012.0207,11.921032,64.00496,0.0
2025-03-22_04:00:00,2.0652776584029198e-05,23.343315,59.08972,1012.629,10.334298,77.33748,0.0
2025-03-22_05:00:00,0.0,22.489332,68.11807,1012.8582,10.986026,74.67084,0.0
2025-03-22_06:00:00,0.0,22.286303,73.25131,1012.8269,10.333312,58.498875,0.0
2025-03-22_07:00:00,0.0,21.938232,79.25322,1013.2241,9.429131,50.72718,0.0
2025-03-22_08:00:00,0.0,21.672241,81.32543,1013.5597,10.084696,50.050003,0.0
2025-03-22_09:00:00,0.0,21.419703,82.6012,1013.9918,11.285552,46.215317,0.0
2025-03-22_10:00:00,0.0,23.025927,76.52745,1013.9149,14.04973,33.06373,0.0
2025-03-22_11:00:00,0.0,25.41867,68.85719,1013.5082,11.969601,22.675552,0.0
2025-03-22_12:00:00,0.0,27.401264,63.34359,1013.13666,15.4072485,114.74223,0.0
2025-03-22_13:00:00,0.0,28.728838,59.421158,1012.317,16.72618,353.78204,0.0
2025-03-22_14:00:00,0.0,29.914862,53.931587,1011.31055,16.546003,350.44257,0.0
2025-03-22_15:00:00,0.0,30.779047,48.327087,1010.2428,15.529066,176.50247,0.0
2025-03-22_16:00:00,0.0,31.391584,44.38755,1009.07385,15.154129,136.35745,0.0
2025-03-22_17:00:00,0.1341505154268816,31.521687,44.3743,1008.1812,17.253998,139.6496,0.0
2025-03-22_18:00:00,0.20998523465823382,31.77923,43.676277,1007.06903,14.394339,151.52351,0.0
2025-03-22_19:00:00,0.5449492328916676,30.169725,51.825058,1007.50916,11.07694,232.68333,0.0
2025-03-22_20:00:00,0.010801595926750451,32.075417,42.996124,1006.9604,12.029181,298.83295,0.0
2025-03-22_21:00:00,1.2281967628514394,29.353764,52.47168,1007.8977,10.084501,258.22363,0.0
2025-03-22_22:00:00,0.004603337496519089,28.120188,57.019836,1009.36145,4.307187,255.46698,0.0
2025-03-22_23:00:00,0.01046987366862595,27.283901,59.166985,1009.7903,6.5714364,162.93571,0.0
2025-03-23_00:00:00,0.0037350538186728954,26.891428,58.02864,1009.8811,7.5003805,223.76027,0.0
