Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,23.066128,56.420998,1014.53076,5.927,154.4945,0.0
2025-03-20_01:00:00,0.0,20.66178,66.193726,1014.6531,7.9192333,165.76276,0.0
2025-03-20_02:00:00,0.0,19.894056,67.84665,1014.3583,9.37346,163.23999,0.0
2025-03-20_03:00:00,0.0,19.247871,68.77368,1014.8795,8.441056,151.719,0.0
2025-03-20_04:00:00,0.0,18.947521,67.90348,1015.07465,8.94448,140.62389,0.0
2025-03-20_05:00:00,0.0,18.342669,69.04587,1015.27234,8.820276,131.1832,0.0
2025-03-20_06:00:00,0.0,17.803675,70.31824,1015.4715,8.16692,150.50851,0.0
2025-03-20_07:00:00,0.0,17.241234,72.42604,1015.90784,7.300516,152.30864,0.0
2025-03-20_08:00:00,0.0,16.81682,74.07907,1016.59045,7.67169,118.65068,0.0
2025-03-20_09:00:00,0.0,16.362495,76.46589,1017.2573,8.641166,87.22475,0.0
2025-03-20_10:00:00,0.0,16.315523,77.63688,1017.82996,9.03118,69.15903,0.0
2025-03-20_11:00:00,0.0,20.783016,62.48645,1017.66064,12.122266,62.9535,0.0
2025-03-20_12:00:00,0.0,23.887726,60.264328,1017.3489,16.340864,45.89972,0.0
2025-03-20_13:00:00,0.0,26.630463,55.094143,1016.55994,17.39398,43.09767,0.0
2025-03-20_14:00:00,0.0,28.653381,48.33535,1015.73395,16.055098,40.00276,0.0
2025-03-20_15:00:00,0.0,30.079031,43.47561,1014.91644,13.35489,39.55261,0.0
2025-03-20_16:00:00,0.0,31.163353,38.754234,1014.0599,10.905762,44.98586,0.0
2025-03-20_17:00:00,0.0,31.994081,35.036053,1013.2788,9.0700445,52.915047,0.0
2025-03-20_18:00:00,5.3955998282617657e-05,32.479042,32.20453,1012.6118,8.774454,65.76177,0.0
2025-03-20_19:00:00,0.0028016530272907403,32.582863,31.504898,1012.4693,11.840825,110.53723,0.0
2025-03-20_20:00:00,0.003207799910342146,32.5577,30.978388,1012.4303,7.78364,123.49339,0.0
2025-03-20_21:00:00,0.0,32.220757,30.498474,1012.52625,10.2801485,99.593155,0.0
2025-03-20_22:00:00,0.0,27.981836,35.232986,1013.28766,11.265207,105.6847,0.0
2025-03-20_23:00:00,0.0,27.303606,34.413307,1013.6356,12.790985,88.13286,0.0
2025-03-21_00:00:00,0.0,26.089762,36.744877,1014.07556,13.139068,97.702866,0.0
2025-03-21_01:00:00,0.0,25.713339,40.05017,1014.0414,14.252908,103.74831,0.0
2025-03-21_02:00:00,0.0,24.612598,46.037895,1014.0338,13.411863,97.858246,0.0
2025-03-21_03:00:00,0.0,24.140085,48.705215,1014.1702,14.017007,90.14485,0.0
2025-03-21_04:00:00,0.0,23.870426,48.93452,1014.2081,17.104961,74.95749,0.0
2025-03-21_05:00:00,0.0,24.443575,45.216515,1014.1796,19.441687,61.632286,0.0
2025-03-21_06:00:00,0.0,23.970854,46.166145,1014.25134,20.305511,63.584225,0.0
