Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,25.899506,50.655308,1012.5303,4.681134,189.72153,0.0
2025-03-20_01:00:00,0.0,23.62994,59.038002,1012.76587,5.6625724,135.39377,0.0
2025-03-20_02:00:00,0.0,22.797373,59.733963,1012.7592,7.9763436,130.37697,0.0
2025-03-20_03:00:00,0.0,22.197893,62.124794,1013.0383,6.3785787,112.168335,0.0
2025-03-20_04:00:00,0.0,21.346186,64.550735,1013.5864,9.781807,151.14874,0.0
2025-03-20_05:00:00,0.0,20.599066,70.01526,1013.7233,9.550284,137.6442,0.0
2025-03-20_06:00:00,0.0,20.087126,78.85693,1013.9469,9.747909,123.66837,0.0
2025-03-20_07:00:00,0.0,20.115711,86.18184,1014.50903,11.1823,106.119736,0.0
2025-03-20_08:00:00,0.0,19.957151,89.25254,1015.19446,12.198936,95.84767,0.0
2025-03-20_09:00:00,0.0,19.753325,90.24539,1015.77594,13.324683,93.66739,0.0
2025-03-20_10:00:00,0.0,19.807829,89.044266,1016.379,14.107132,91.93534,0.0
2025-03-20_11:00:00,0.0,22.244112,75.9359,1016.5486,19.468416,84.27504,0.0
2025-03-20_12:00:00,0.0,24.371576,65.08945,1016.5718,19.761684,79.78314,0.0
2025-03-20_13:00:00,0.0,26.329504,57.22776,1016.00635,19.095278,76.349205,0.0
2025-03-20_14:00:00,0.0,28.178905,50.379944,1015.2249,18.027905,75.153114,0.0
2025-03-20_15:00:00,0.0,29.834293,43.96807,1014.3097,16.615814,76.9033,0.0
2025-03-20_16:00:00,0.0,31.217854,38.062527,1013.43286,14.399392,80.23998,0.0
2025-03-20_17:00:00,0.0,32.189545,33.66102,1012.5874,12.349851,80.45269,0.0
2025-03-20_18:00:00,0.0,32.787766,30.997025,1011.90234,10.537238,74.51901,0.0
2025-03-20_19:00:00,0.0,33.13327,29.145088,1011.6776,9.597222,67.71085,0.0
2025-03-20_20:00:00,0.0,33.13134,28.20348,1011.6159,10.245734,60.021675,0.0
2025-03-20_21:00:00,0.0,32.29451,29.766779,1011.8237,8.558257,50.660023,0.0
2025-03-20_22:00:00,0.0,27.897573,38.13141,1012.44977,8.153841,43.650887,0.0
2025-03-20_23:00:00,0.0,26.740463,37.516,1012.85455,10.248986,44.254303,0.0
2025-03-21_00:00:00,0.0,25.589304,39.25521,1013.21545,9.950106,47.890923,0.0
2025-03-21_01:00:00,0.0,24.595463,42.920193,1013.5316,12.430374,99.81073,0.0
2025-03-21_02:00:00,0.0,23.988232,45.50836,1013.65625,13.27473,119.54784,0.0
2025-03-21_03:00:00,0.0,22.446468,50.53633,1013.8601,11.618037,99.776115,0.0
2025-03-21_04:00:00,0.0,22.005075,55.079353,1013.9127,12.897617,89.23288,0.0
2025-03-21_05:00:00,0.0,20.909184,65.13658,1014.0631,12.382503,87.02,0.0
2025-03-21_06:00:00,0.0,20.238693,73.36122,1014.23914,11.988827,75.34084,0.0
2025-03-21_07:00:00,0.0,20.410686,76.148506,1014.708,13.3774605,77.03213,0.0
2025-03-21_08:00:00,0.0,20.795898,74.247696,1015.30774,15.813938,79.21532,0.0
2025-03-21_09:00:00,0.0,20.295422,76.550575,1015.93835,15.788096,81.44147,0.0
2025-03-21_10:00:00,0.0,21.113766,73.61986,1016.55054,18.948874,72.819885,0.0
2025-03-21_11:00:00,0.0,23.234348,66.565704,1016.62866,22.211206,77.71799,0.0
2025-03-21_12:00:00,0.0,25.187634,58.894573,1016.62854,21.417881,78.86616,0.0
2025-03-21_13:00:00,0.0,27.11021,52.22982,1015.8657,19.22788,77.73405,0.0
2025-03-21_14:00:00,0.0,29.20759,45.340088,1014.9633,17.472128,75.463,0.0
2025-03-21_15:00:00,0.0,31.122509,38.919395,1013.7876,15.752135,75.24164,0.0
2025-03-21_16:00:00,0.0,32.600063,33.026047,1012.65796,11.847252,80.96561,0.0
2025-03-21_17:00:00,0.0,33.371475,28.809216,1011.6588,7.8738413,96.84168,0.0
2025-03-21_18:00:00,0.0,33.95848,26.038355,1010.8222,6.213327,125.83389,0.0
2025-03-21_19:00:00,0.0,34.359818,24.092474,1010.6256,8.32494,154.47937,0.0
2025-03-21_20:00:00,0.0,34.278328,23.217224,1010.5209,9.304929,155.0714,0.0
2025-03-21_21:00:00,0.0,32.465683,25.92464,1010.9334,6.366999,140.61755,0.0
2025-03-21_22:00:00,0.0,28.949429,30.285496,1011.4598,8.168827,151.55688,0.0
2025-03-21_23:00:00,0.0,27.617788,31.017262,1011.66766,8.067974,142.72763,0.0
2025-03-22_00:00:00,0.0,25.914885,34.754593,1012.36584,9.928697,147.82065,0.0
