Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,25.344625,58.018154,1017.6864,9.024147,141.0734,0.0
2025-03-20_01:00:00,0.0,24.223043,59.91691,1017.43396,12.640245,130.87105,0.0
2025-03-20_02:00:00,0.0,24.250496,58.63906,1017.5463,14.719513,125.301636,0.0
2025-03-20_03:00:00,0.0,23.91124,60.213688,1017.7807,13.771447,120.187904,0.0
2025-03-20_04:00:00,0.0,23.37496,62.631954,1017.82056,11.824723,121.22662,0.0
2025-03-20_05:00:00,0.0,22.294867,66.66005,1018.1629,8.62843,179.43237,0.0
2025-03-20_06:00:00,0.0,21.62015,69.530136,1018.5102,5.2472477,115.201035,0.0
2025-03-20_07:00:00,0.0,20.89683,71.81596,1019.38794,7.255334,147.54639,0.0
2025-03-20_08:00:00,0.0,20.183449,73.798416,1019.8862,8.618294,135.53381,0.0
2025-03-20_09:00:00,0.0,19.828438,74.5757,1020.0991,9.946944,126.261826,0.0
2025-03-20_10:00:00,0.0,19.911863,75.66328,1020.2733,10.171456,104.396675,0.0
2025-03-20_11:00:00,0.0,25.114561,59.066765,1019.60693,10.838634,70.3249,0.0
2025-03-20_12:00:00,0.0,28.183641,51.30043,1019.22003,11.574766,65.105965,0.0
2025-03-20_13:00:00,0.0,30.445091,44.280533,1018.4719,13.294562,71.33203,0.0
2025-03-20_14:00:00,0.0,31.581915,39.858673,1017.88446,12.626506,80.65778,0.0
2025-03-20_15:00:00,0.0,32.393112,36.682228,1017.22345,11.294008,87.968376,0.0
2025-03-20_16:00:00,0.0,33.088783,33.552486,1016.45294,8.934396,92.14323,0.0
2025-03-20_17:00:00,0.0,33.70266,31.363752,1015.68933,8.273313,81.08629,0.0
2025-03-20_18:00:00,9.347454351882334e-06,34.000248,29.58799,1014.984,5.1499662,114.517746,0.0
2025-03-20_19:00:00,0.0005779366474598646,34.16059,29.087307,1014.94696,8.876221,137.27734,0.0
2025-03-20_20:00:00,4.8402900574728847e-05,34.422653,28.05896,1014.8736,8.817646,151.54572,0.0
2025-03-20_21:00:00,3.286755600129254e-05,34.067425,28.121204,1014.9889,5.9254465,145.50662,0.0
2025-03-20_22:00:00,4.95561835123226e-07,29.884457,36.53502,1015.9718,7.256895,166.7215,0.0
2025-03-20_23:00:00,0.0,28.771872,38.81553,1016.56915,10.686343,102.23845,0.0
2025-03-21_00:00:00,4.796294524567202e-05,28.11161,39.978622,1017.0455,12.580002,90.15021,0.0
2025-03-21_01:00:00,6.342877895804122e-06,27.432186,42.02578,1016.9248,12.472107,85.07042,0.0
2025-03-21_02:00:00,0.0,27.85286,38.65992,1016.65967,15.94742,109.151596,0.0
2025-03-21_03:00:00,0.0,28.199295,36.878357,1016.7792,19.942656,102.93271,0.0
2025-03-21_04:00:00,0.0,27.627865,36.890587,1016.9107,20.75892,106.44948,0.0
2025-03-21_05:00:00,0.0,26.976444,37.984093,1017.0562,21.255665,103.858185,0.0
2025-03-21_06:00:00,0.0,26.450974,37.576607,1017.1203,22.123857,99.23526,0.0
2025-03-21_07:00:00,0.0,25.885406,39.221176,1017.7782,20.043154,87.3309,0.0
2025-03-21_08:00:00,0.0,25.309698,40.87466,1018.25574,18.604528,72.708336,0.0
2025-03-21_09:00:00,0.0,24.484165,43.754807,1018.7604,16.49591,72.210846,0.0
2025-03-21_10:00:00,0.0,24.243727,47.97764,1019.2534,13.200406,91.65418,0.0
2025-03-21_11:00:00,0.0,27.737768,39.923985,1019.022,17.76592,87.18808,0.0
2025-03-21_12:00:00,0.0,29.769674,38.50289,1018.96765,20.11032,79.6885,0.0
2025-03-21_13:00:00,0.0,32.038933,34.630783,1018.0769,15.7663145,55.218903,0.0
2025-03-21_14:00:00,0.0,33.34941,31.43734,1017.25073,14.123646,37.998306,0.0
2025-03-21_15:00:00,0.0,33.971478,31.078804,1016.4446,13.819365,36.576782,0.0
2025-03-21_16:00:00,0.0,34.12197,30.900326,1015.6226,11.573829,34.37963,0.0
2025-03-21_17:00:00,8.977306038104871e-05,34.426964,31.064413,1014.8685,12.730153,74.84091,0.0
2025-03-21_18:00:00,0.10427792835434957,34.413757,31.426096,1014.349,12.764846,74.93692,0.0
2025-03-21_19:00:00,0.0003634183231042698,34.962234,29.816416,1013.98584,11.049051,52.813614,0.0
2025-03-21_20:00:00,0.00011685388017212972,34.916985,29.747147,1014.07196,13.899612,65.56724,0.0
2025-03-21_21:00:00,9.460894943913445e-05,34.02403,32.00843,1014.5117,9.030901,108.70218,0.0
2025-03-21_22:00:00,0.0,29.978796,41.500053,1015.4812,6.762514,169.40224,0.0
2025-03-21_23:00:00,0.0,29.089708,44.238758,1015.9974,6.0892873,134.39307,0.0
2025-03-22_00:00:00,0.0,28.52509,45.080242,1016.15234,8.776949,109.84691,0.0
2025-03-22_01:00:00,0.0,29.17942,43.017845,1016.0333,14.4624605,107.04112,0.0
2025-03-22_02:00:00,0.0,28.567719,43.50641,1015.96606,14.973932,101.42932,0.0
2025-03-22_03:00:00,0.0,28.945892,41.50197,1015.9785,18.842455,87.32875,0.0
2025-03-22_04:00:00,0.0,28.693884,43.0235,1015.9744,20.955147,82.713684,0.0
2025-03-22_05:00:00,0.0,27.509146,50.76933,1016.0175,19.359837,72.43825,0.0
2025-03-22_06:00:00,0.0,26.49928,57.428055,1016.279,16.736101,56.28151,0.0
2025-03-22_07:00:00,0.0,25.339558,64.220276,1017.2124,15.148725,25.477764,0.0
2025-03-22_08:00:00,0.0,24.986153,67.15868,1017.69385,14.132697,32.252228,0.0
2025-03-22_09:00:00,0.0,23.879026,72.39442,1018.1325,11.115355,36.87225,0.0
2025-03-22_10:00:00,0.0,25.475721,66.414474,1018.112,12.435717,42.651752,0.0
2025-03-22_11:00:00,0.0,27.531187,59.275276,1017.9242,11.408393,28.34861,0.0
2025-03-22_12:00:00,0.0,29.899364,52.002712,1017.66565,13.7306595,158.89734,0.0
2025-03-22_13:00:00,0.0,31.214703,48.918594,1016.9837,15.413861,349.6112,0.0
2025-03-22_14:00:00,0.0,32.379353,44.9544,1016.0223,15.232712,342.11777,0.0
2025-03-22_15:00:00,0.0,33.472435,39.56887,1014.8231,14.355887,349.23322,0.0
2025-03-22_16:00:00,0.0001619299073354341,34.36885,36.181618,1013.46783,14.885297,348.533,0.0
2025-03-22_17:00:00,0.002311857351742219,34.92483,35.012207,1012.3436,16.339584,330.33673,0.0
2025-03-22_18:00:00,0.09274749157339102,34.20617,38.5448,1011.7218,14.421663,294.91464,0.0
2025-03-22_19:00:00,0.00014572194777429104,35.22309,34.978218,1011.195,15.176583,328.66705,0.0
2025-03-22_20:00:00,0.0,35.096237,34.135048,1011.4787,13.9606695,327.12115,0.0
2025-03-22_21:00:00,0.0012878748020739295,32.332146,43.666424,1012.3132,16.150135,49.215347,0.0
2025-03-22_22:00:00,9.17331799864769,24.52118,84.95911,1017.4171,20.46657,112.227806,0.0
2025-03-22_23:00:00,8.523002803325653,25.257751,71.49764,1015.6767,17.623127,148.56944,0.0
2025-03-23_00:00:00,4.3225051164627075,24.65641,78.50467,1015.83746,26.87077,143.55173,0.0
