Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,25.917345,59.458878,1011.8072,8.609126,161.58513,0.0
2025-03-20_01:00:00,0.0,24.314234,67.690956,1012.3509,9.198965,144.49179,0.0
2025-03-20_02:00:00,0.0,23.786522,70.42696,1012.37476,8.438772,133.73828,0.0
2025-03-20_03:00:00,0.0,22.911875,76.12537,1012.6782,7.9643154,135.37212,0.0
2025-03-20_04:00:00,0.0,22.113436,81.83196,1013.2094,7.9163094,126.73892,0.0
2025-03-20_05:00:00,0.0,21.415224,87.18552,1013.3635,7.585414,119.58193,0.0
2025-03-20_06:00:00,0.0,20.868013,90.512,1013.4927,7.665052,101.01517,0.0
2025-03-20_07:00:00,0.0,20.50276,92.493996,1014.23224,8.361331,82.81208,0.0
2025-03-20_08:00:00,0.0,20.260378,92.94738,1014.63696,8.469486,74.63351,0.0
2025-03-20_09:00:00,0.0,20.00424,92.19394,1015.1618,8.054171,103.91547,0.0
2025-03-20_10:00:00,0.0,20.647713,90.95725,1015.3779,7.0183372,117.97756,0.0
2025-03-20_11:00:00,0.0,22.854202,77.022934,1015.501,9.853374,117.61335,0.0
2025-03-20_12:00:00,0.0,25.715523,63.583298,1015.3164,12.231579,104.202065,0.0
2025-03-20_13:00:00,0.0,27.88575,55.49945,1014.48553,11.271897,89.25727,0.0
2025-03-20_14:00:00,0.0,29.423616,50.469604,1013.6198,10.72843,75.20636,0.0
2025-03-20_15:00:00,0.0,30.660698,46.07773,1012.71436,10.140114,132.59499,0.0
2025-03-20_16:00:00,0.0,31.793427,41.593727,1011.77466,9.119472,140.40918,0.0
2025-03-20_17:00:00,0.0,32.781307,37.44829,1010.8828,8.459231,154.02556,0.0
2025-03-20_18:00:00,0.0,33.57095,33.846523,1010.0867,8.010133,143.31026,0.0
2025-03-20_19:00:00,0.0,34.131252,30.201738,1009.8155,8.671308,132.28993,0.0
2025-03-20_20:00:00,0.0,34.16978,29.54957,1009.9666,9.330487,137.46698,0.0
2025-03-20_21:00:00,0.0,33.559376,30.552101,1010.2507,10.045737,139.37576,0.0
2025-03-20_22:00:00,0.0,30.084557,35.88927,1011.02765,12.222933,158.09204,0.0
2025-03-20_23:00:00,0.0,28.831793,37.47529,1011.8098,12.700542,143.62868,0.0
2025-03-21_00:00:00,0.0,27.41712,40.37331,1012.3377,13.346787,151.16414,0.0
2025-03-21_01:00:00,0.0,26.55898,42.149555,1012.2889,14.9000025,142.67163,0.0
2025-03-21_02:00:00,0.0,25.49705,45.2291,1012.3884,14.206808,151.31595,0.0
2025-03-21_03:00:00,0.0,24.218988,48.43448,1012.79974,11.460641,153.29114,0.0
2025-03-21_04:00:00,0.0,23.182306,51.04077,1013.2282,6.911448,166.54501,0.0
2025-03-21_05:00:00,0.0,23.22571,57.165165,1013.6543,11.035175,54.328236,0.0
2025-03-21_06:00:00,0.0,23.075752,62.307384,1013.8271,13.024105,86.18372,0.0
2025-03-21_07:00:00,0.0,22.86764,64.6891,1014.4565,13.40748,98.031334,0.0
2025-03-21_08:00:00,0.0,22.026949,69.76769,1015.0019,11.235619,100.63111,0.0
2025-03-21_09:00:00,0.0,21.009481,75.25012,1015.46185,8.632689,122.84067,0.0
