Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,24.614298,52.609062,1012.6505,9.154287,139.07391,0.0
2025-03-20_01:00:00,0.0,23.033419,59.139187,1012.8623,11.535608,152.6232,0.0
2025-03-20_02:00:00,0.0,23.17084,58.786606,1012.163,13.6827545,156.13947,0.0
2025-03-20_03:00:00,0.0,22.848413,59.28048,1013.06104,14.068921,130.01315,0.0
2025-03-20_04:00:00,0.0,22.456272,59.76819,1013.0976,14.8602495,136.90036,0.0
2025-03-20_05:00:00,0.0,21.683867,62.510925,1013.3849,10.930367,107.297165,0.0
2025-03-20_06:00:00,0.0,20.632921,66.33688,1013.7002,9.460014,158.70776,0.0
2025-03-20_07:00:00,0.0,20.09749,68.43664,1014.2671,10.800617,140.77573,0.0
2025-03-20_08:00:00,0.0,19.700153,71.78022,1015.09,11.202321,113.49317,0.0
2025-03-20_09:00:00,0.0,19.75437,76.60475,1015.4938,13.277433,110.02147,0.0
2025-03-20_10:00:00,0.0,19.813187,80.97354,1016.14,14.708145,102.33495,0.0
2025-03-20_11:00:00,0.0,22.943123,71.011505,1016.08264,17.077326,90.19869,0.0
2025-03-20_12:00:00,0.0,25.174023,61.38495,1015.98724,17.943626,75.841995,0.0
2025-03-20_13:00:00,0.0,27.306955,53.10412,1015.34436,16.829132,69.02764,0.0
2025-03-20_14:00:00,0.0,29.065062,46.84941,1014.51697,15.012586,64.869194,0.0
2025-03-20_15:00:00,0.0,30.61843,40.727463,1013.5255,13.155161,66.723526,0.0
2025-03-20_16:00:00,0.0,31.864496,34.814095,1012.54944,12.328352,73.57106,0.0
2025-03-20_17:00:00,0.0,32.683624,31.647797,1011.6743,12.102371,85.37132,0.0
2025-03-20_18:00:00,8.34229203974246e-05,33.126774,29.405792,1011.0095,11.509546,96.10362,0.0
2025-03-20_19:00:00,0.0005213804306549719,33.39981,27.745268,1010.8251,10.732378,89.887054,0.0
2025-03-20_20:00:00,0.0,33.51066,26.534744,1010.796,13.089507,105.23346,0.0
2025-03-20_21:00:00,0.0,32.60437,27.690739,1011.1554,13.880377,104.12167,0.0
2025-03-20_22:00:00,0.0,29.121487,34.062912,1012.02527,13.03182,120.88245,0.0
2025-03-20_23:00:00,0.0,28.019632,35.726562,1012.4906,14.7682495,120.80476,0.0
2025-03-21_00:00:00,0.0,26.963202,35.993595,1012.8914,14.793657,112.96503,0.0
2025-03-21_01:00:00,0.0,25.941683,36.52329,1012.8245,13.232036,100.99189,0.0
2025-03-21_02:00:00,0.0,25.54841,36.810146,1012.7272,13.581185,97.797165,0.0
2025-03-21_03:00:00,0.0,24.436735,39.127747,1012.87274,13.7182665,113.43224,0.0
2025-03-21_04:00:00,0.0,24.521301,40.466156,1013.1191,19.56626,109.317276,0.0
2025-03-21_05:00:00,0.0,23.474659,45.04763,1013.4214,19.746796,104.775955,0.0
2025-03-21_06:00:00,0.0,22.880053,50.150192,1013.4981,20.49774,96.98111,0.0
2025-03-21_07:00:00,0.0,22.188765,56.030464,1014.1177,19.621943,91.80826,0.0
2025-03-21_08:00:00,0.0,21.485037,62.496037,1014.7451,17.92682,90.8215,0.0
2025-03-21_09:00:00,0.0,20.82646,67.73467,1015.3959,16.98407,88.49684,0.0
2025-03-21_10:00:00,0.0,21.279373,67.1243,1016.06964,17.539045,72.42398,0.0
