Data,Precipitacao,Temperatura,Umidade_Relativa,Pressao,Velocidade_Vento,Direcao_Vento,Nebulosidade
2025-03-20_00:00:00,,25.707363,58.147717,1005.32513,9.065193,202.22232,0.0
2025-03-20_01:00:00,0.0,23.905361,65.80487,1005.36945,7.2312884,175.30876,0.0
2025-03-20_02:00:00,0.0,23.374664,68.18407,1005.6864,7.3331127,161.67578,0.0
2025-03-20_03:00:00,0.0,22.82921,70.22502,1006.18884,9.172298,134.98184,0.0
2025-03-20_04:00:00,0.0,22.27283,72.35177,1006.364,9.597576,148.1048,0.0
2025-03-20_05:00:00,0.0,22.041428,72.63436,1006.18835,11.368011,141.39471,0.0
2025-03-20_06:00:00,0.0,21.38163,75.21784,1006.2901,10.796931,127.42773,0.0
2025-03-20_07:00:00,0.0,20.73569,79.45769,1006.9342,10.572711,130.4407,0.0
2025-03-20_08:00:00,0.0,20.231281,84.04297,1007.48315,10.70021,127.83081,0.0
2025-03-20_09:00:00,0.0,19.695179,89.03853,1008.0496,10.512082,122.354614,0.0
2025-03-20_10:00:00,0.0,19.95063,89.565956,1008.4774,9.638475,123.38199,0.0
2025-03-20_11:00:00,0.0,23.156782,76.14321,1008.5603,11.691916,104.47434,0.0
2025-03-20_12:00:00,0.0,26.020061,64.98706,1008.382,13.447626,95.37171,0.0
2025-03-20_13:00:00,0.0,28.34507,55.95424,1007.63806,14.168381,94.097305,0.0
2025-03-20_14:00:00,0.0,30.150293,48.729393,1006.847,13.626644,94.26384,0.0
2025-03-20_15:00:00,0.0,31.560324,42.619255,1005.9476,12.109562,101.64695,0.0
2025-03-20_16:00:00,0.0,32.626377,38.006786,1005.0476,10.513529,114.04025,0.0
2025-03-20_17:00:00,0.0,33.275406,34.297142,1004.2566,9.21784,129.97488,0.0
2025-03-20_18:00:00,0.0,33.878048,32.19202,1003.53766,8.990716,128.43964,0.0
2025-03-20_19:00:00,2.7575919148148387e-07,34.280296,30.356493,1003.2876,10.837571,136.22997,0.0
2025-03-20_20:00:00,2.247945849376265e-05,34.21103,29.335451,1003.4188,10.801965,144.2239,0.0
2025-03-20_21:00:00,0.0,33.670082,29.32262,1003.7799,12.026184,150.6324,0.0
2025-03-20_22:00:00,0.0,30.364567,32.607903,1004.5308,12.396235,142.79779,0.0
2025-03-20_23:00:00,0.0,29.222172,33.25835,1004.9418,13.951862,143.6235,0.0
2025-03-21_00:00:00,0.0,27.879053,33.884094,1005.40125,11.816067,138.90924,0.0
2025-03-21_01:00:00,0.0,27.036596,37.283363,1005.44775,13.347466,144.72504,0.0
